Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-04-17,8.59,8.61,8.49,8.52,61500,0.0,0
2007-04-18,8.52,8.55,8.49,8.49,52500,0.0,0
2007-04-19,8.54,8.55,8.51,8.53,38000,0.0,0
2007-04-20,8.51,8.55,8.5,8.54,11500,0.0,0
2007-04-23,8.54,8.55,8.51,8.54,49100,0.0,0
2007-04-24,8.53,8.54,8.51,8.52,13200,0.0,0
2007-04-25,8.52,8.54,8.51,8.54,36900,0.0,0
2007-04-26,8.54,8.55,8.52,8.54,20200,0.0,0
2007-04-27,8.53,8.55,8.51,8.52,17600,0.0,0
2007-04-30,8.52,8.55,8.52,8.55,11500,0.0,0
2007-05-01,8.55,8.55,8.51,8.51,28900,0.0,0
2007-05-02,8.51,8.54,8.51,8.52,30300,0.0,0
2007-05-03,8.54,8.54,8.51,8.51,10200,0.0,0
2007-05-04,8.52,8.54,8.51,8.53,23700,0.0,0
2007-05-07,8.53,8.54,8.51,8.53,25700,0.0,0
2007-05-08,8.54,8.55,8.53,8.55,11600,0.0,0
2007-05-09,8.52,8.55,8.52,8.55,17100,0.0,0
2007-05-10,8.55,8.55,8.53,8.54,10200,0.0,0
2007-05-11,8.54,8.55,8.53,8.55,11800,0.0,0
2007-05-14,8.55,8.56,8.53,8.55,12600,0.0,0
2007-05-15,8.55,8.55,8.53,8.55,9400,0.0,0
2007-05-16,8.54,8.55,8.53,8.54,18200,0.0,0
2007-05-17,8.55,8.55,8.53,8.53,11100,0.0,0
2007-05-18,8.55,8.55,8.51,8.52,30100,0.0,0
2007-05-21,8.52,8.54,8.5,8.52,9700,0.0,0
2007-05-22,8.54,8.55,8.51,8.52,33400,0.0,0
2007-05-23,8.52,8.54,8.49,8.53,19800,0.0,0
2007-05-24,8.51,8.53,8.48,8.49,16300,0.0,0
2007-05-25,8.52,8.52,8.46,8.49,12600,0.0,0
2007-05-29,8.49,8.52,8.47,8.52,25900,0.0,0
2007-05-30,8.51,8.52,8.47,8.52,40800,0.0,0
2007-05-31,8.52,8.53,8.49,8.51,15800,0.0,0
2007-06-01,8.49,8.51,8.46,8.49,21100,0.0,0
2007-06-04,8.5,8.51,8.46,8.5,17900,0.0,0
2007-06-05,8.52,8.52,8.47,8.5,21800,0.0,0
2007-06-06,8.49,8.5,8.46,8.5,12800,0.0,0
2007-06-07,8.49,8.49,8.32,8.42,35500,0.0,0
2007-06-08,8.42,8.42,8.34,8.4,16100,0.0,0
2007-06-11,8.39,8.42,8.3,8.39,31300,0.0,0
2007-06-12,8.27,8.34,8.27,8.34,13800,0.0,0
2007-06-13,8.37,8.37,8.32,8.37,9300,0.0,0
2007-06-14,8.37,8.42,8.27,8.42,29100,0.0,0
2007-06-15,8.42,8.46,8.38,8.44,17400,0.0,0
2007-06-18,8.42,8.52,8.42,8.51,10800,0.0,0
2007-06-19,8.51,8.54,8.49,8.52,18400,0.0,0
2007-06-20,8.53,8.53,8.45,8.45,18200,0.0,0
2007-06-21,8.42,8.42,8.29,8.32,21200,0.0,0
2007-06-22,8.3,8.34,8.27,8.27,16800,0.0,0
2007-06-25,8.32,8.35,8.28,8.3,26800,0.0,0
2007-06-26,8.32,8.32,8.28,8.28,11200,0.0,0
2007-06-27,8.31,8.36,8.29,8.32,10000,0.511,0
2007-06-28,8.33,8.34,8.29,8.29,14900,0.0,0
2007-06-29,8.29,8.35,8.29,8.33,9700,0.0,0
2007-07-02,8.38,8.48,8.38,8.47,15100,0.0,0
2007-07-03,8.51,8.51,8.48,8.48,2300,0.0,0
2007-07-05,8.5,8.5,8.43,8.48,5300,0.0,0
2007-07-06,8.43,8.48,8.43,8.46,10000,0.0,0
2007-07-09,8.48,8.52,8.46,8.5,7800,0.0,0
2007-07-10,8.55,8.57,8.46,8.57,27900,0.0,0
2007-07-11,8.57,8.57,8.48,8.55,15200,0.0,0
2007-07-12,8.55,8.57,8.5,8.57,11800,0.0,0
2007-07-13,8.52,8.58,8.52,8.55,3000,0.0,0
2007-07-16,8.52,8.57,8.48,8.48,11200,0.0,0
2007-07-17,8.41,8.49,8.41,8.49,16000,0.0,0
2007-07-18,8.47,8.48,8.43,8.46,7600,0.0,0
2007-07-19,8.46,8.48,8.42,8.48,12700,0.0,0
2007-07-20,8.5,8.5,8.43,8.46,8400,0.0,0
2007-07-23,8.48,8.5,8.42,8.42,13600,0.0,0
2007-07-24,8.4,8.4,8.18,8.25,23000,0.0,0
2007-07-25,8.25,8.31,8.18,8.18,15500,0.0,0
2007-07-26,8.25,8.25,7.92,7.95,23600,0.0,0
2007-07-27,8.02,8.02,7.8,7.9,23700,0.0,0
2007-07-30,7.92,7.92,7.76,7.87,9900,0.0,0
2007-07-31,7.88,7.91,7.76,7.83,17400,0.0,0
2007-08-01,7.82,7.82,7.55,7.73,26700,0.0,0
2007-08-02,7.76,7.89,7.66,7.76,23200,0.0,0
2007-08-03,7.78,7.78,7.59,7.73,10800,0.0,0
2007-08-06,7.78,7.78,7.5,7.61,16300,0.0,0
2007-08-07,7.64,7.64,7.26,7.39,21600,0.0,0
2007-08-08,7.47,7.66,7.31,7.66,25700,0.0,0
2007-08-09,7.6,7.62,7.34,7.5,15700,0.0,0
2007-08-10,7.54,7.54,6.99,7.1,19600,0.0,0
2007-08-13,7.13,7.13,6.31,6.57,55900,0.0,0
2007-08-14,6.54,6.7,6.54,6.7,18600,0.0,0
2007-08-15,6.71,6.73,6.34,6.34,20900,0.0,0
